AB_SCHOOL_NUMBER,School_Name,Address,Postal_Code,Phone_Number,Email,Website,Grade_Level _A,Grade_Level _B,Grade_Level _C,French_Immersion,Spanish_Bilingual,Latitude,Longitude,School_Type,GRADES_OFFERED,LANGUAGE_PROGRAMS,ACADEMY_PROGRAMS,INTERNATIONAL_BACCALAUREATE,ADVANCED_PLACEMENT,FULL_DAY_KINDERGARTEN,INTERACTIONS
8407,St. Joseph,10830 109 ST NW,T5H 3C1,7804262010,8407web@ecsd.net,https://www.ecsd.net/schools/8407/Pages/default.aspx,Senior,,,False,False,53.5538756,-113.5094603,Catholic,10; 11; 12,Spanish Language and Culture; Italian Language and Culture; Nehiyaw Pimatisiwin Cree,Guided Customized Learning (GCL),1,0,0,0
8049,Anne Fitzgerald,699 CLAREVIEW RD NW,T5A 4G3,7804759619,8049web@ecsd.net,http://www.annefitzgerald.ecsd.net,Elementary,,,False,False,53.5944903,-113.3837889,Catholic,K; 1; 2; 3; 4; 5; 6,-No Language Program-,,0,0,1,0
8032,St. Stanislaus,3855 114 ST NW,T6J 1M3,7804340295,8032web@ecsd.net,https://www.ecsd.net/schools/8032/Pages/default.aspx,Elementary,,,True,False,53.4743073,-113.52595,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion,,0,0,0,0
8402,Austin O'Brien,6110 95 AVE NW,T6B 1A5,7804663161,8402web@ecsd.net,http://www.austinobrien.ecsd.net,Senior,,,False,True,53.5354056,-113.4264182,Catholic,10; 11; 12,Polish Bilingual; Ukrainian Bilingual; Spanish Bilingual; Spanish Language and Culture,,0,1,0,0
2385,CCAC City-Centre,1 SIR WINSTON CHURCHILL SQUARE NW,T5J 0R2,7809442003,8412web@ecsd.net,https://www.ecsd.net/8412/page/1846/cardinal-collins-catholic-academic-centres,Outreach,,,False,False,53.54456068,-113.4905859,Catholic,9; 10; 11; 12,No Language Program,,0,0,0,0
8231,St. Clement,7620 MILL WOODS RD NW,T6K 2P7,7804623806,8231web@ecsd.net,http://www.stclement.ecsd.net,Elementary,Junior,,False,False,53.4461906,-113.4498432,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,-No Language Program-,,1,0,0,0
8207,Sir John Thompson,13525 132 AVE NW,T5L 3R6,7804549202,8207web@ecsd.net,http://www.sirjohnthompson.ecsd.net,Junior,,,False,False,53.5919354,-113.5548917,Catholic,7; 8; 9,-No Language Program-,Enhanced Academic Program (EAP),0,0,0,0
8202,Holy Child,9844 110 ST NW,T5K 1J2,7804823676,8202web@ecsd.net,http://www.holychild.ecsd.net,Elementary,,,True,True,53.5367981,-113.5108011,Catholic,K; 1; 2; 3; 4; 5; 6,French Immersion; Spanish Bilingual,,0,0,0,0
1430,Mother Margaret Mary,2010 LEGER RD NW,T6R 0R9,7809882279,1430web@ecsd.net,https://www.ecsd.net/schools/1430/Pages/default.aspx,Senior,,,False,False,53.458824,-113.579493,Catholic,10; 11; 12,Spanish Language and Culture,,0,1,0,0
8203,Holy Cross,15120 104 AVE NW,T5P 0R5,7804891981,8203web@ecsd.net,https://www.ecsd.net/schools/8203/Pages/default.aspx,Elementary,Junior,,True,False,53.5468062,-113.5823307,Catholic,K; 1; 2; 3; 4; 5; 6; 7; 8; 9,French Immersion,Enhanced Academic Program (EAP),0,0,0,0
