AB_School_Number,School_Name,Address,Postal_Code,Phone_Number,Email,Website,Grade_Level_A,Grade_Level_B,Grade_Level_C,Fench_Immersion,Spanish_Bilingual,Latitude,Longitude,School_Type
7104,Athlone,12940 129 Street NW,T5L1J3,7804555823,athlone@epsb.ca,http://athlone.epsb.ca,Elementary,,,FALSE,FALSE,53.5880711,-113.5442717,Public
7723,Learning Store at Circle Square,#2014 Northgate Centre 9499 - 137 Avenue NW,T5E6K9,7804573467,learningstorecirclesquare@epsb.ca,http://outreach.epsb.ca,Special,,,FALSE,FALSE,53.5977388,-113.4887991,Public
7704,Braemar,9359 67A Street NW,T6B1R7,7804683000,braemar@epsb.ca,http://braemar.epsb.ca,Junior,Senior,,FALSE,FALSE,53.530954,-113.4314571,Public
7127,Gold Bar,10524 46 Street NW,T6A1Y3,7804664116,goldbar@epsb.ca,http://goldbar.epsb.ca,Elementary,,,FALSE,FALSE,53.5491929,-113.4127979,Public
7569,Winterburn,9527 Winterburn Road NW,T5T5X9,7804473566,winterburn@epsb.ca,http://winterburn.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.5337845,-113.6889359,Public
386,Learning Store on Whyte,10007 82 Avenue NW,T6E1Z2,7804378119,learningstorewhyte@epsb.ca,http://outreach.epsb.ca,Special,,,FALSE,FALSE,53.5180095,-113.4888771,Public
7570,T. D. Baker,1750 Mill Woods Road East NW,T6L5C5,7804625496,tdbaker@epsb.ca,http://tdbaker.epsb.ca,Junior,,,FALSE,FALSE,53.447439,-113.405997,Public
7535,Rosslyn,13215 113A Street NW,T5E5B9,7804531576,rosslyn@epsb.ca,http://rosslyn.epsb.ca,Junior,,,FALSE,FALSE,53.5923631,-113.5164502,Public
484,amiskwaciy Academy,101 Airport Road NW,T5G3K2,7804241270,amiskwaciy@epsb.ca,http://amiskwaciy.epsb.ca,Junior,Senior,,FALSE,FALSE,53.5688308,-113.5213551,Public
7273,Fraser,14904 21 Street NW,T5Y2L6,7804720131,fraser@epsb.ca,http://fraser.epsb.ca,Elementary,,,FALSE,FALSE,53.6119953,-113.3720321,Public
7550,Avalon,5425 114 Street NW,T6H3M1,7804348402,avalon@epsb.ca,http://avalon.epsb.ca,Junior,,,TRUE,FALSE,53.4914825,-113.5246031,Public
7563,Dan Knott,1434 80 Street NW,T6K2C6,7804627954,danknott@epsb.ca,http://danknott.epsb.ca,Junior,,,FALSE,FALSE,53.4456108,-113.4534994,Public
7278,Earl Buxton,250 Rhatigan Road East NW,T6R2H7,7804351577,earlbuxton@epsb.ca,http://earlbuxton.epsb.ca,Elementary,,,FALSE,FALSE,53.4742979,-113.5817772,Public
7572,Mary Butterworth,16315 109 Street NW,T5X2R2,7804761480,mbutterworth@epsb.ca,http://marybutterworth.epsb.ca,Junior,,,FALSE,FALSE,53.6243208,-113.5079715,Public
349,Argyll Centre,6859 100 Avenue NW,T6A0G3,7804651299,agryll@epsb.ca,http://argyll.epsb.ca,Elementary,Junior,Senior,FALSE,FALSE,53.53995018,-113.4345284,Public
7905,Edmonton Christian High,14304 109 Avenue NW,T5N1H6,7804087945,ecshs@epsb.ca,http://www.edmchristian.org,Senior,,,FALSE,FALSE,53.554182,-113.5677222,Public
7058,McNally,8440 105 Avenue NW,T6A1B6,7804690442,mcnally@epsb.ca,http://mcnallyhigh.com,Senior,,,FALSE,FALSE,53.547963,-113.4574349,Public
7223,Malcolm Tweddle,2340 Millbourne Road West NW,T6K1Y9,7804623270,mtweddle@epsb.ca,http://malcolmtweddle.epsb.ca,Elementary,,,FALSE,FALSE,53.4773755,-113.4582347,Public
7267,LaPerle,18715 97A Avenue NW,T5T4C1,7804831864,laperle@epsb.ca,http://laperle.epsb.ca,Elementary,,,FALSE,FALSE,53.5336337,-113.6454473,Public
7177,Virginia Park,7324 109 Avenue NW,T5B0A1,7804778152,virgina@epsb.ca,http://virginiapark.epsb.ca,Elementary,,,FALSE,FALSE,53.5597662,-113.4495829,Public
1003,Jackson Heights,311 Jackson Road NW,T6L7H2,7804659797,jacksonheights@epsb.ca,http://jacksonheights.epsb.ca,Elementary,,,FALSE,FALSE,53.4840336,-113.4089927,Public
7251,Sakaw,5730 11A Avenue NW,T6L3A9,7804631854,sakaw@epsb.ca,http://sakaw.epsb.ca,Elementary,,,FALSE,FALSE,53.4404716,-113.4278982,Public
7260,Centennial,17420 57 Avenue NW,T6M1K4,7804815590,centennial@epsb.ca,http://centennial.epsb.ca,Elementary,,,FALSE,FALSE,53.4929404,-113.62353,Public
7909,Millwoods Christian,8704 Mill Woods Road NW,T6K3J3,7804622627,millwoodschristian@epsb.ca,http://millwoodschristian.epsb.ca,Elementary,Junior,Senior,FALSE,FALSE,53.467756,-113.408395,Public
7249,Meyonohk,1850 Lakewood Road South NW,T6K3Y5,7804637627,meyonohk@epsb.ca,http://meyonohk.epsb.ca,Elementary,,,FALSE,FALSE,53.4544193,-113.4549592,Public
7523,McKernan,11330 76 Avenue NW,T6G0K1,7804354163,mckernan@epsb.ca,http://mckernan.epsb.ca,Elementary,Junior,,TRUE,FALSE,53.5122618,-113.5238312,Public
7178,Greenfield,3735 114 Street NW,T6J2G6,7804348581,greenfield@epsb.ca,http://greenfield.epsb.ca,Elementary,,,TRUE,FALSE,53.4736432,-113.5271172,Public
7141,Lauderdale,10610 129 Avenue NW,T5E4V6,7804758737,lauderdale@epsb.ca,http://lauderdale.epsb.ca,Elementary,,,FALSE,FALSE,53.5874492,-113.5024966,Public
1282,Edmonton Christian Northeast,5940 159 Avenue NW,T5Y0J5,7804087942,ecsne@epsb.ca,http://www.edmchristian.org,Elementary,Junior,,FALSE,FALSE,53.6199408,-113.4329669,Public
1458,A. Blair McPherson,430 Tamarack Green NW,T6T0J4,7804684361,ablairmcpherson@epsb.ca,http://ablairmcpherson.epsb.ca,Elementary,Junior,,FALSE,FALSE,53.469872,-113.362193,Public
7522,D. S. MacKenzie,4020 106 Street NW,T6J1A6,7804389103,dsmackenzie@epsb.ca,http://dsmackenzie.epsb.ca,Junior,,,FALSE,FALSE,53.4759807,-113.5050572,Public
7107,Belgravia,11605 74 Avenue NW,T6G0G1,7804355560,belgravia@epsb.ca,http://belgravia.epsb.ca,Elementary,,,FALSE,FALSE,53.5103506,-113.5314501,Public
7161,Prince Charles,12325 127 Street NW,T5L0Z9,7804555533,pcharles@epsb.ca,http://princecharles.epsb.ca,Elementary,,,FALSE,FALSE,53.5781521,-113.5411811,Public
7574,Kate Chegwin,3119 48 Street NW,T6L6P5,7804690470,kchegwin@epsb.ca,http://katechegwin.epsb.ca,Junior,,,FALSE,FALSE,53.4623067,-113.416127,Public
7218,Duggan,10616 36A Avenue NW,T6J0C9,7804340319,duggan@epsb.ca,http://duggan.epsb.ca,Elementary,,,FALSE,FALSE,53.4712145,-113.5059641,Public
7277,Lago Lindo,17303 95 Street NW,T5Z2Z1,7804566980,lagolindo@epsb.ca,http://lagolindo.epsb.ca,Elementary,,,FALSE,FALSE,53.6355988,-113.4880804,Public
7240,Homesteader,4455 128 Avenue NW,T5A3M9,7804781139,homestead@epsb.ca,http://homesteader.epsb.ca,Elementary,,,FALSE,FALSE,53.5879335,-113.4105264,Public
7225,Caernarvon,14820 118 Street NW,T5X1T4,7804567020,caernarvon@epsb.ca,http://caernarvon.epsb.ca,Elementary,,,FALSE,FALSE,53.6104152,-113.5258527,Public
7118,Delton,12126 89 Street NW,T5B3W4,7804778742,delton@epsb.ca,http://delton.epsb.ca,Elementary,,,FALSE,FALSE,53.5755604,-113.4779914,Public
7250,Greenview,5904 38 Avenue NW,T6L3P5,7804620660,greenview@epsb.ca,http://greenview.epsb.ca,Elementary,,,TRUE,FALSE,53.4737107,-113.42932,Public
7561,Edith Rogers,8308 Mill Woods Road NW,T6K1Y7,7804623310,edithrogers@epsb.ca,http://edithrogers.epsb.ca,Junior,,,FALSE,FALSE,53.47427,-113.45618,Public
7259,Menisa,933 Knottwood Road South NW,T6K3Y9,7804638474,menisa@epsb.ca,http://menisa.epsb.ca,Elementary,,,FALSE,FALSE,53.4423216,-113.4488849,Public
7149,Mee-Yah-Noh,9228 128A Avenue NW,T5E0J8,7804751929,meeyahnoh@epsb.ca,http://meeyahnoh.epsb.ca,Elementary,,,FALSE,FALSE,53.5869687,-113.4830968,Public
7211,Rio Terrace,7608 154 Street NW,T5R1R7,7804816866,rioterrace@epsb.ca,http://rioterrace.epsb.ca,Elementary,,,TRUE,FALSE,53.5095695,-113.5858998,Public
7192,Afton,16604 91 Avenue NW,T5R5A4,7804843263,afton@epsb.ca,http://afton.epsb.ca,Elementary,,,FALSE,FALSE,53.5261309,-113.6074899,Public
7196,Rundle,11005 34 Street NW,T5W1Y7,7804716100,rundle@epsb.ca,http://rundle.epsb.ca,Elementary,,,FALSE,FALSE,53.5632327,-113.3936905,Public
7090,Metro Continuing Education,8205 90 Avenue NW,T6C1N8,7804281111,metro@epsb.ca,http://metrocontinuingeducation.ca,Senior,,,FALSE,FALSE,53.5251649,-113.4550876,Public
7519,Lawton,11602 40 Street NW,T5W2K6,7804711052,lawton@epsb.ca,http://lawton.epsb.ca,Junior,,,FALSE,FALSE,53.5686201,-113.4030494,Public
7269,Lymburn,18710 72 Avenue NW,T5T4E9,7804871777,lymburn@epsb.ca,http://lymburn.epsb.ca,Elementary,,,FALSE,FALSE,53.5053095,-113.6467411,Public
1022,Learning Store West Edmonton,9532 163 St NW,T5P 3M7,7804438072,learningstorewestedmonton@epsb.ca,http://outreach.epsb.ca,Special,,,FALSE,FALSE,53.532582,-113.6027674,Public
7276,Bisset,3020 37 Street NW,T6L5X1,7804506536,bisset@epsb.ca,http://bisset.epsb.ca,Elementary,,,FALSE,FALSE,53.4603826,-113.398001,Public
7722,Learning Store Northgate,#2014 Northgate Centre 9499 - 137 Avenue NW,T5E6K9,7804573467,learningstorenorthgate@epsb.ca,http://outreach.epsb.ca,Special,,,FALSE,FALSE,53.5977388,-113.4887991,Public
